sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
14,379077,55686.0,-549.0,-1177.0,240.0,249.0,-159.0,-342.0,-48.1,26.8,8.5,S
27,99730,13417.0,-11.0,-140.0,1039.0,-225.0,-451.0,-93.0,-1.8,-1.4,3.6,D
41,451887,64786.0,-39.0,-986.0,463.0,127.0,-156.0,-415.0,10.0,-44.8,26.3,S
99,277709,43011.0,-77.0,-1006.0,-70.0,283.0,-187.0,-256.0,0.2,1.0,-0.6,S
31,1083350,191998.0,48.0,-114.0,990.0,-271.0,-444.0,-85.0,-0.7,0.3,1.8,U
6,402324,62065.0,6.0,-998.0,157.0,264.0,-235.0,-334.0,4.3,1.1,4.3,R
50,108770,33318.0,3.0,454.0,869.0,3.0,-87.0,-159.0,-0.6,0.0,2.4,W
33,331737,49768.0,-13.0,-1156.0,445.0,174.0,-180.0,-384.0,18.9,-37.8,22.8,S
46,52830,14899.0,-101.0,-999.0,87.0,253.0,-226.0,-337.0,-2.5,-0.6,-1.6,S
13,643766,85561.0,301.0,368.0,951.0,-306.0,-471.0,-3.0,7.3,-21.4,39.4,L
51,1759386,225028.0,170.0,-200.0,983.0,-321.0,-439.0,-82.0,1.1,-0.5,2.3,R
39,1781313,234459.0,-29.0,-943.0,-185.0,343.0,-208.0,-178.0,-19.8,5.1,-4.0,U
112,120500,34787.0,-46.0,437.0,944.0,37.0,-136.0,-169.0,3.0,-4.8,3.6,W
48,444323,67315.0,-146.0,-965.0,88.0,247.0,-208.0,-280.0,-7.6,7.0,5.8,R
14,352633,54485.0,-48.0,4.0,1034.0,-291.0,-442.0,-88.0,-0.9,0.2,2.1,D
12,1365241,175760.0,76.0,11.0,1057.0,-573.0,-171.0,-112.0,7.7,0.8,13.5,L
6,1838853,241653.0,19.0,-940.0,75.0,283.0,-175.0,-238.0,-57.1,20.3,10.3,U
39,627617,88860.0,62.0,-99.0,991.0,-219.0,-466.0,-81.0,-2.3,0.5,2.8,D
56,645894,85830.0,310.0,-174.0,945.0,0.0,-453.0,22.0,-0.4,1.1,2.6,L
62,109373,33393.0,4.0,465.0,880.0,19.0,-102.0,-154.0,-2.8,-2.8,3.9,W
8,850365,118078.0,-53.0,-958.0,59.0,228.0,-193.0,-325.0,-53.9,-45.3,-22.4,L
12,1238322,166578.0,41.0,-979.0,114.0,259.0,-234.0,-289.0,4.4,-8.1,-1.9,L
26,2340150,304321.0,-53.0,-1019.0,-7.0,298.0,-225.0,-286.0,10.8,-4.0,-7.9,D
15,233860,30186.0,-38.0,-103.0,976.0,-190.0,-445.0,-96.0,2.1,-5.3,-3.1,D
10,1166143,157553.0,2.0,-953.0,97.0,243.0,-168.0,-270.0,2.8,-10.2,-11.5,L
0,21551,3642.0,116.0,0.0,1094.0,-292.0,-466.0,-72.0,1.4,16.1,-0.4,D
43,1905992,250046.0,-84.0,-919.0,-315.0,343.0,-168.0,-112.0,2.5,-2.3,-0.2,U
6,1403173,187184.0,0.0,-1066.0,148.0,223.0,-237.0,-324.0,5.9,12.1,2.2,U
46,1865062,244928.0,-207.0,-912.0,-328.0,328.0,-150.0,-100.0,-0.2,1.1,7.3,U
49,2411158,313196.0,12.0,-999.0,101.0,262.0,-243.0,-346.0,2.8,2.6,-8.8,D
18,151850,38706.0,77.0,28.0,1178.0,142.0,-177.0,-82.0,-53.4,7.7,8.1,W
47,428302,73265.0,38.0,96.0,998.0,132.0,-129.0,-67.0,-4.2,-0.9,2.7,W
3,983504,134721.0,731.0,-885.0,306.0,258.0,-199.0,-268.0,31.4,24.5,-34.5,L
90,277258,42955.0,-39.0,-992.0,-91.0,295.0,-177.0,-234.0,8.5,5.7,-5.1,S
45,234358,37593.0,-108.0,-996.0,156.0,223.0,-204.0,-354.0,-3.5,-0.1,-1.4,S
23,309103,39592.0,27.0,-228.0,976.0,-229.0,-462.0,-82.0,0.6,1.4,-0.2,D
21,1914638,244441.0,206.0,-119.0,969.0,-339.0,-451.0,-46.0,-3.5,-3.4,-2.3,R
11,2474488,321115.0,-30.0,-955.0,-12.0,279.0,-211.0,-321.0,24.5,-1.2,-24.0,D
11,315084,51159.0,-120.0,-986.0,52.0,259.0,-202.0,-303.0,-4.6,8.8,0.5,R
34,79636,20353.0,-8.0,-210.0,966.0,-250.0,-432.0,-132.0,4.4,6.3,5.3,U
43,1864892,244909.0,-159.0,-881.0,-312.0,333.0,-168.0,-102.0,2.2,-5.6,9.9,U
58,898019,117347.0,126.0,-146.0,1011.0,-144.0,-462.0,-57.0,6.7,0.1,-0.9,L
4,186372,33697.0,-301.0,-67.0,940.0,-283.0,-393.0,-150.0,-11.2,-18.6,5.1,D
20,488329,117611.0,64.0,-74.0,1083.0,-279.0,-441.0,-90.0,14.0,1.8,8.8,U
73,498771,82078.0,-77.0,43.0,1014.0,138.0,-60.0,-43.0,-0.2,0.9,1.6,W
40,889454,122965.0,-27.0,-1000.0,114.0,268.0,-243.0,-327.0,0.6,-5.5,1.1,L
54,1367342,176022.0,29.0,95.0,1024.0,-577.0,-178.0,-87.0,0.2,0.0,2.5,L
48,187250,43131.0,-25.0,303.0,926.0,66.0,-102.0,-129.0,3.9,-6.0,5.8,W
65,317961,59471.0,-77.0,196.0,994.0,97.0,-97.0,-90.0,-0.8,2.0,2.3,W
41,2279760,296771.0,-61.0,-943.0,-10.0,303.0,-213.0,-280.0,8.5,-1.5,-3.6,D
6,767930,107771.0,-120.0,-1002.0,31.0,262.0,-198.0,-262.0,-0.2,5.9,-8.1,L
28,107661,33181.0,-70.0,513.0,915.0,9.0,-82.0,-169.0,1.4,-4.2,4.6,W
38,1715706,219572.0,287.0,-210.0,937.0,-355.0,-441.0,-27.0,3.7,2.3,2.0,R
16,330898,49661.0,-402.0,-826.0,-76.0,288.0,-142.0,-222.0,1.8,24.0,-21.1,S
27,233459,37480.0,248.0,-1192.0,185.0,243.0,-129.0,-268.0,40.6,-56.4,25.5,S
47,1507262,193516.0,191.0,-256.0,976.0,-261.0,-457.0,-48.0,-3.9,-2.9,-22.6,L
31,237200,49375.0,-103.0,56.0,1035.0,133.0,-90.0,-51.0,36.4,-13.7,-3.9,W
47,2142721,279640.0,-26.0,-1000.0,-13.0,300.0,-219.0,-276.0,-3.3,0.7,4.1,D
37,108110,33237.0,-11.0,474.0,875.0,6.0,-84.0,-156.0,0.3,-1.5,2.3,W
59,592044,79096.0,177.0,-124.0,985.0,-43.0,-457.0,-52.0,-2.7,-1.8,0.9,L
16,495921,81721.0,-4.0,-385.0,1303.0,192.0,-151.0,-3.0,-41.3,8.7,-1.6,W
55,1408203,181128.0,214.0,108.0,957.0,-585.0,-216.0,-49.0,8.2,4.9,2.3,L
41,158171,30172.0,-125.0,-77.0,1002.0,-258.0,-417.0,-109.0,-3.5,0.7,3.0,D
28,1616674,207191.0,300.0,-56.0,973.0,-412.0,-421.0,-40.0,0.7,0.1,2.3,L
16,1109660,195286.0,117.0,-115.0,913.0,-282.0,-445.0,-79.0,6.0,2.4,0.6,U
37,353804,54628.0,-48.0,3.0,1012.0,-286.0,-439.0,-87.0,1.3,1.1,1.7,D
44,1508891,200403.0,-37.0,-945.0,-133.0,324.0,-219.0,-205.0,-16.0,10.6,4.4,U
2,72720,17386.0,-73.0,-1273.0,265.0,187.0,-171.0,-379.0,-8.7,-47.6,62.6,S
54,313707,47511.0,-83.0,-983.0,78.0,249.0,-151.0,-304.0,1.7,-2.3,0.1,S
9,401547,58493.0,-420.0,-1208.0,268.0,204.0,-195.0,-387.0,-50.1,2.2,12.6,S
31,403554,62221.0,209.0,-993.0,-59.0,294.0,-310.0,-238.0,-18.8,-5.3,-7.8,R
12,344091,62734.0,-59.0,93.0,1479.0,141.0,-148.0,-78.0,-38.2,-16.3,-2.7,W
42,1864863,244903.0,-130.0,-864.0,-338.0,345.0,-169.0,-96.0,-0.5,-3.1,7.2,U
21,2474998,321178.0,-43.0,-1084.0,117.0,246.0,-234.0,-384.0,-3.7,-2.3,11.5,D
2,401187,58449.0,190.0,-976.0,177.0,222.0,-216.0,-361.0,31.6,-21.7,32.1,S
53,1782003,234546.0,25.0,-979.0,-195.0,333.0,-216.0,-141.0,-5.2,4.0,-3.0,U
23,1631531,215734.0,38.0,-878.0,-331.0,339.0,-217.0,-85.0,-35.7,13.0,-5.8,U
77,795118,104485.0,123.0,-249.0,970.0,-63.0,-459.0,-66.0,1.5,-1.5,-1.1,L
148,439197,74621.0,-64.0,77.0,1029.0,132.0,-121.0,-52.0,1.1,0.0,1.4,W
23,2270999,295678.0,-11.0,-987.0,382.0,175.0,-234.0,-429.0,37.8,-15.1,9.6,D
21,546440,124873.0,-77.0,-109.0,965.0,-232.0,-415.0,-130.0,5.3,-4.0,1.1,U
8,72075,19410.0,-251.0,-123.0,596.0,-159.0,-396.0,-165.0,5.7,-23.2,24.1,U
30,79424,20328.0,-81.0,-193.0,986.0,-262.0,-423.0,-133.0,-7.5,-7.6,3.4,U
2,1100353,149328.0,167.0,-898.0,21.0,247.0,-183.0,-259.0,-5.9,-8.6,-7.2,L
55,1594480,211103.0,27.0,-942.0,-227.0,339.0,-222.0,-156.0,1.1,-5.2,3.2,U
4,2442928,317171.0,-103.0,-964.0,-70.0,303.0,-177.0,-268.0,-4.4,-0.3,3.7,D
28,637041,91409.0,-7.0,-983.0,106.0,261.0,-214.0,-297.0,-4.5,-0.6,1.4,R
1,1731008,228171.0,-164.0,-1133.0,-247.0,244.0,-186.0,-291.0,42.0,13.0,-7.9,U
15,2474727,321140.0,35.0,-1133.0,192.0,256.0,-235.0,-360.0,11.2,-3.3,-9.3,D
12,816470,113840.0,-155.0,-1030.0,285.0,226.0,-225.0,-361.0,0.7,-27.7,1.1,L
2,1310472,175596.0,415.0,-984.0,134.0,258.0,-214.0,-271.0,-79.5,10.1,2.2,L
40,443903,67265.0,80.0,-1001.0,35.0,271.0,-232.0,-280.0,5.9,14.2,1.3,R
25,2241420,291978.0,-66.0,-979.0,-61.0,310.0,-217.0,-261.0,8.2,-8.4,-5.9,D
64,466943,63459.0,127.0,-43.0,989.0,-84.0,-465.0,-75.0,3.7,-7.5,-3.7,L
39,2340809,304403.0,-44.0,-990.0,23.0,274.0,-231.0,-304.0,3.3,-2.8,-1.6,D
40,591085,78977.0,164.0,-126.0,998.0,-40.0,-462.0,-51.0,-2.2,-4.2,-0.2,L
43,889604,122984.0,-36.0,-996.0,109.0,258.0,-243.0,-325.0,-4.9,-9.7,6.4,L
76,2243970,292296.0,31.0,-1005.0,66.0,261.0,-225.0,-328.0,2.9,0.0,1.3,D
52,1759405,225035.0,164.0,-191.0,975.0,-310.0,-448.0,-69.0,0.0,0.2,1.5,R
49,1641546,210297.0,493.0,-202.0,809.0,-430.0,-417.0,-25.0,7.0,8.9,-22.9,L
26,107571,33168.0,-55.0,465.0,867.0,13.0,-84.0,-154.0,1.6,5.7,3.7,W
65,403189,106967.0,81.0,-122.0,999.0,-402.0,-393.0,-79.0,-6.1,-3.7,8.1,R
30,546923,124930.0,-59.0,-140.0,1019.0,-237.0,-420.0,-127.0,-0.2,1.8,4.2,U
67,378712,67065.0,-77.0,212.0,981.0,93.0,-115.0,-103.0,-1.1,-1.5,2.7,W
50,1783297,228022.0,226.0,-174.0,974.0,-354.0,-442.0,-61.0,-0.4,0.2,2.7,R
20,586552,93053.0,-114.0,-60.0,1194.0,174.0,-138.0,-48.0,21.0,-16.4,7.6,W
6,523043,70471.0,129.0,73.0,1008.0,-319.0,-447.0,-45.0,-0.5,0.4,1.8,L
29,330409,97867.0,105.0,-37.0,1027.0,-369.0,-438.0,-70.0,1.1,-0.7,2.1,R
5,1534631,203621.0,162.0,-1088.0,349.0,228.0,-271.0,-349.0,7.0,-2.5,-0.8,U
88,277138,42943.0,-66.0,-940.0,-84.0,294.0,-177.0,-238.0,5.9,10.1,-3.1,S
22,269051,34586.0,84.0,-175.0,998.0,-240.0,-453.0,-72.0,-2.8,0.0,2.1,D
36,216441,46781.0,-73.0,12.0,954.0,139.0,-79.0,-55.0,3.3,-3.5,2.9,W
2,1713906,219347.0,160.0,-236.0,1060.0,-259.0,-466.0,-45.0,-37.5,10.0,-63.7,R
119,437753,74446.0,-142.0,53.0,1123.0,142.0,-132.0,-54.0,16.5,-3.9,5.5,W
63,445073,67409.0,-151.0,-994.0,88.0,246.0,-199.0,-280.0,-5.1,-1.0,-1.2,R
18,351327,52218.0,-244.0,-642.0,-138.0,292.0,-100.0,-153.0,14.0,62.3,-12.6,S
55,317274,51434.0,5.0,-1006.0,91.0,261.0,-199.0,-244.0,-1.4,0.9,-2.1,R
10,352453,54460.0,-49.0,18.0,997.0,-282.0,-438.0,-90.0,5.2,-0.7,2.5,D
5,92670,19880.0,-669.0,-1449.0,486.0,156.0,-187.0,-421.0,-7.0,-37.0,83.8,S
7,1639415,210035.0,453.0,-245.0,982.0,-399.0,-423.0,-27.0,21.4,8.1,12.3,L
89,590002,93484.0,-119.0,187.0,992.0,102.0,-54.0,-93.0,0.0,0.1,1.0,W
97,277587,42999.0,-92.0,-1003.0,-77.0,285.0,-186.0,-252.0,2.1,2.3,2.1,S
48,194233,25230.0,20.0,-186.0,1024.0,-226.0,-450.0,-91.0,5.2,-5.8,-0.2,D
28,20370,10843.0,-742.0,-855.0,306.0,202.0,-198.0,-396.0,-90.3,18.5,-20.3,S
3,1021453,139465.0,104.0,-1013.0,72.0,270.0,-205.0,-258.0,-15.8,26.4,7.6,L
44,1366830,175960.0,40.0,82.0,1019.0,-576.0,-178.0,-99.0,-0.2,0.7,-0.8,L
20,187152,33797.0,-172.0,42.0,1002.0,-294.0,-402.0,-129.0,-0.8,1.4,2.3,D
116,120711,34812.0,-40.0,391.0,920.0,34.0,-135.0,-162.0,1.0,-2.6,5.1,W
13,236302,49262.0,-76.0,-129.0,1278.0,178.0,-157.0,-39.0,24.0,7.0,-15.3,W
19,2270820,295653.0,27.0,-926.0,82.0,234.0,-225.0,-373.0,33.9,-1.5,-4.0,D
0,1730990,228165.0,-67.0,-1006.0,-20.0,249.0,-189.0,-280.0,3.2,0.5,-2.2,U
120,120889,34837.0,-19.0,401.0,924.0,46.0,-135.0,-162.0,-0.6,-2.2,3.2,W
35,316285,51309.0,-20.0,-990.0,87.0,262.0,-189.0,-247.0,-0.9,-4.1,-7.7,R
14,192522,25017.0,27.0,-217.0,917.0,-208.0,-451.0,-87.0,7.8,6.1,4.8,D
46,153261,38881.0,9.0,395.0,963.0,45.0,-97.0,-130.0,2.1,0.3,6.2,W
8,2171431,283228.0,-99.0,-1028.0,-125.0,322.0,-190.0,-220.0,6.4,-12.1,0.9,D
13,636291,91315.0,348.0,-968.0,52.0,244.0,-228.0,-294.0,-11.8,10.6,15.0,R
19,2443678,317265.0,-7.0,-1035.0,-6.0,303.0,-243.0,-289.0,5.8,-0.3,-7.8,D
58,1783717,228072.0,179.0,-163.0,966.0,-357.0,-433.0,-64.0,9.8,2.6,5.7,R
13,237745,41490.0,-14.0,-992.0,212.0,235.0,-222.0,-321.0,-8.9,-5.2,-22.7,R
32,928734,172667.0,34.0,-44.0,1016.0,-295.0,-430.0,-94.0,3.0,5.4,0.2,U
39,344264,43986.0,-18.0,-163.0,1005.0,-192.0,-448.0,-97.0,-0.3,-2.0,1.8,D
12,315290,59140.0,-62.0,448.0,1151.0,175.0,-141.0,-12.0,69.9,-26.6,-12.1,W
2,2140471,279359.0,-62.0,-992.0,-97.0,334.0,-190.0,-232.0,-1.6,-3.9,5.3,D
49,862047,112853.0,185.0,-270.0,951.0,81.0,-400.0,0.0,2.5,0.0,2.1,L
49,531262,86140.0,-8.0,-28.0,976.0,136.0,-138.0,-43.0,-16.8,-0.4,0.1,W
1,214700,46562.0,-115.0,-329.0,477.0,223.0,-144.0,55.0,68.0,-5.4,23.2,W
49,1168093,157796.0,-70.0,-1014.0,67.0,274.0,-198.0,-307.0,0.3,-4.9,3.7,L
6,1322101,170366.0,53.0,96.0,820.0,-592.0,-94.0,-79.0,-13.8,-7.4,41.7,L
35,590845,78946.0,172.0,-147.0,981.0,-42.0,-457.0,-43.0,0.0,1.4,3.5,L
81,2144431,279853.0,-16.0,-988.0,120.0,259.0,-223.0,-336.0,0.8,-0.5,3.2,D
9,791728,104060.0,138.0,189.0,1026.0,-303.0,-451.0,-40.0,-17.9,-4.7,40.8,L
50,94919,20161.0,-14.0,-965.0,251.0,202.0,-217.0,-381.0,-2.1,-4.9,0.4,S
13,426592,73053.0,44.0,49.0,997.0,132.0,-147.0,-54.0,0.7,-1.3,3.2,W
19,20985,13022.0,73.0,-69.0,1034.0,-270.0,-456.0,-78.0,0.4,0.9,2.1,U
14,1631081,215678.0,-130.0,-858.0,-224.0,312.0,-202.0,-190.0,-47.6,16.1,11.3,U
56,2341649,304509.0,16.0,-994.0,84.0,267.0,-228.0,-330.0,-6.9,6.2,-0.9,D
15,850725,118121.0,-233.0,-973.0,116.0,271.0,-270.0,-330.0,-36.3,-15.3,-3.5,L
50,270463,34761.0,95.0,-184.0,1029.0,-238.0,-463.0,-72.0,1.0,0.0,2.7,D
38,312897,47411.0,-75.0,-998.0,231.0,199.0,-141.0,-336.0,0.4,-19.6,-12.6,S
31,216201,46750.0,-64.0,45.0,1010.0,145.0,-87.0,-49.0,9.5,-13.3,6.4,W
51,351474,55709.0,-110.0,-975.0,63.0,253.0,-192.0,-274.0,-1.0,1.5,-2.5,R
23,443063,67159.0,10.0,-982.0,93.0,250.0,-235.0,-312.0,-0.2,-23.3,-16.0,R
31,986721,179917.0,-3.0,-98.0,1023.0,-268.0,-432.0,-112.0,2.8,-1.5,0.2,U
70,771140,108171.0,-33.0,-1003.0,55.0,285.0,-243.0,-300.0,-0.7,0.7,1.0,L
28,1446341,192584.0,2.0,-871.0,-304.0,319.0,-228.0,-112.0,-10.8,-0.2,1.5,U
32,1047710,187542.0,-40.0,-89.0,1036.0,-217.0,-424.0,-118.0,4.8,-1.3,2.7,U
9,589555,78784.0,184.0,-38.0,912.0,-151.0,-481.0,-48.0,14.9,-44.2,98.2,L
31,316075,51284.0,-107.0,-1025.0,84.0,256.0,-163.0,-258.0,-4.3,11.6,0.7,R
84,56144,63580.0,100.0,-86.0,995.0,-366.0,-427.0,-81.0,-0.4,-0.9,3.0,R
50,185718,79780.0,124.0,-61.0,1002.0,-432.0,-393.0,-55.0,0.9,1.8,3.1,R
83,771770,108253.0,-81.0,-975.0,-5.0,265.0,-235.0,-327.0,28.2,-14.3,7.9,L
41,2173110,283434.0,106.0,-1060.0,121.0,267.0,-241.0,-333.0,1.5,5.0,-4.5,D
25,193061,25086.0,-1.0,-206.0,980.0,-220.0,-448.0,-90.0,-1.0,-0.5,1.1,D
24,1466501,188416.0,-45.0,111.0,1001.0,-558.0,-237.0,-81.0,1.1,0.0,2.3,L
46,1716126,219622.0,296.0,-195.0,966.0,-357.0,-451.0,-34.0,0.7,-1.6,1.7,R
2,1237812,166515.0,-35.0,-964.0,-8.0,273.0,-202.0,-264.0,-2.9,-6.5,1.5,L
7,219287,83973.0,84.0,-38.0,1109.0,-357.0,-421.0,-87.0,7.9,8.4,14.2,R
64,317724,51490.0,-67.0,-974.0,53.0,270.0,-196.0,-253.0,-7.0,-5.1,7.5,R
41,530873,86090.0,-36.0,73.0,984.0,123.0,-133.0,-52.0,0.0,-3.1,3.4,W
40,100428,13498.0,1.0,-153.0,1014.0,-232.0,-438.0,-97.0,-1.6,-2.0,2.3,D
46,889754,123003.0,-94.0,-1012.0,142.0,264.0,-249.0,-340.0,-0.2,-14.9,3.9,L
27,431576,62249.0,-133.0,-742.0,-121.0,285.0,-111.0,-181.0,59.5,39.2,-12.6,S
30,1239222,166690.0,-47.0,-1011.0,149.0,246.0,-220.0,-322.0,0.4,-8.5,6.0,L
29,644544,85661.0,332.0,-197.0,869.0,10.0,-448.0,27.0,-11.9,-0.2,-1.3,L
8,1844797,235710.0,105.0,-144.0,988.0,-232.0,-471.0,-46.0,11.8,10.7,18.5,R
80,347452,63159.0,-124.0,287.0,970.0,67.0,-76.0,-105.0,1.1,-1.6,2.1,W
17,308804,39555.0,56.0,-198.0,1069.0,-226.0,-454.0,-91.0,10.5,-4.5,-1.9,D
12,2140981,279421.0,-92.0,-1006.0,-42.0,321.0,-201.0,-250.0,3.4,1.1,7.8,D
12,176069,30305.0,-531.0,-702.0,-12.0,274.0,-129.0,-258.0,-21.8,63.0,-26.4,S
12,183828,79542.0,-385.0,-470.0,604.0,-309.0,-453.0,-57.0,-15.0,-49.0,-113.1,R
3,257548,40493.0,-140.0,-996.0,121.0,231.0,-148.0,-331.0,1.8,-4.2,-0.2,S
75,347212,63128.0,-120.0,299.0,984.0,64.0,-84.0,-111.0,0.6,4.2,4.1,W
4,791456,104028.0,208.0,-80.0,971.0,-325.0,-435.0,-37.0,3.8,0.4,-3.0,L
39,451797,64774.0,166.0,-1024.0,555.0,153.0,-154.0,-393.0,43.0,-29.7,-12.1,S
7,1062282,144571.0,-108.0,-990.0,209.0,228.0,-193.0,-310.0,5.0,1.1,2.5,L
23,99519,13392.0,-12.0,-166.0,983.0,-229.0,-445.0,-100.0,1.5,-1.0,2.5,D
32,1132640,198161.0,121.0,-153.0,1005.0,-270.0,-456.0,-73.0,3.0,1.5,1.6,U
15,1839302,241709.0,-123.0,-902.0,-388.0,339.0,-181.0,-60.0,-26.6,0.9,-3.5,U
6,495442,81659.0,-86.0,-336.0,439.0,210.0,-135.0,75.0,11.5,-9.9,34.7,W
5,859858,112578.0,318.0,252.0,1040.0,-280.0,-459.0,-40.0,3.6,-34.4,76.9,L
28,216051,46731.0,-84.0,36.0,1001.0,162.0,-82.0,-42.0,10.2,-11.4,6.2,W
27,427282,73140.0,20.0,67.0,1001.0,129.0,-141.0,-64.0,0.0,-3.2,0.8,W
22,93510,19986.0,-56.0,-1146.0,560.0,117.0,-166.0,-430.0,21.6,-75.0,45.0,S
26,928435,172630.0,18.0,-80.0,1064.0,-289.0,-432.0,-90.0,-0.6,2.5,3.5,U
22,590186,78865.0,186.0,-148.0,936.0,-28.0,-459.0,-43.0,5.6,2.3,-5.8,L
11,2339399,304228.0,-24.0,-1005.0,-37.0,301.0,-220.0,-276.0,10.3,10.2,5.3,D
95,277497,42986.0,-68.0,-976.0,-67.0,288.0,-178.0,-252.0,-2.1,-0.2,1.8,S
12,178376,34071.0,-21.0,-993.0,94.0,258.0,-228.0,-309.0,-10.2,-1.4,-2.5,R
95,119661,34681.0,-286.0,537.0,1121.0,63.0,-115.0,-139.0,51.5,-15.6,5.0,W
35,1132790,198180.0,80.0,-140.0,1000.0,-277.0,-451.0,-78.0,-0.7,-0.7,2.2,U
4,1237932,166528.0,-2.0,-966.0,51.0,270.0,-208.0,-268.0,-0.2,-11.4,0.5,L
13,192461,25011.0,25.0,-211.0,920.0,-217.0,-456.0,-87.0,1.6,4.6,5.0,D
85,430192,73503.0,33.0,139.0,1062.0,138.0,-130.0,-66.0,-2.3,0.5,1.5,W
44,74820,17649.0,10.0,-960.0,204.0,228.0,-198.0,-348.0,-0.5,0.1,0.1,S
2,314635,51103.0,-62.0,-1026.0,51.0,276.0,-225.0,-294.0,6.0,-3.1,12.4,R
54,211259,34705.0,-151.0,-1011.0,32.0,252.0,-157.0,-280.0,-2.5,-1.4,2.3,S
27,896459,117153.0,138.0,-141.0,997.0,-154.0,-466.0,-63.0,-0.2,2.2,-4.6,L
4,2171221,283203.0,-62.0,-950.0,-78.0,334.0,-180.0,-214.0,6.1,-4.2,3.0,D
45,793528,104285.0,127.0,-244.0,986.0,-64.0,-463.0,-55.0,1.2,-0.3,0.0,L
16,156911,30016.0,-148.0,-63.0,1019.0,-256.0,-414.0,-130.0,-3.2,-2.6,1.4,D
35,69387,20446.0,-113.0,-976.0,94.0,261.0,-193.0,-279.0,7.1,-44.4,-7.5,R
0,849986,118028.0,-7.0,-991.0,88.0,262.0,-210.0,-268.0,0.0,4.5,0.8,L
11,1809273,237953.0,-51.0,-1013.0,117.0,249.0,-213.0,-319.0,-23.5,-16.3,12.3,U
70,378831,67084.0,-62.0,210.0,974.0,105.0,-111.0,-99.0,0.6,-0.1,2.1,W
51,153501,38912.0,-19.0,352.0,949.0,61.0,-100.0,-126.0,2.1,-0.3,4.1,W
15,426681,73065.0,42.0,62.0,1009.0,133.0,-156.0,-55.0,2.3,1.6,5.6,W
12,52544,63130.0,87.0,153.0,1111.0,-378.0,-430.0,-57.0,-1.2,4.6,-8.4,R
29,1561931,207034.0,27.0,-943.0,-360.0,336.0,-241.0,-94.0,-2.4,2.5,3.9,U
47,237980,49475.0,11.0,136.0,1000.0,115.0,-87.0,-81.0,-3.3,1.8,4.7,W
35,451587,64749.0,2.0,-1037.0,337.0,214.0,-132.0,-322.0,57.9,-23.6,21.7,S
35,524484,70652.0,166.0,-187.0,958.0,-100.0,-474.0,-42.0,-8.1,16.7,17.6,L
57,655222,138473.0,49.0,-168.0,944.0,-294.0,-436.0,-108.0,2.5,-3.0,7.2,U
78,2144281,279834.0,-4.0,-1000.0,103.0,259.0,-231.0,-330.0,0.4,-0.5,1.6,D
41,1063993,144784.0,-36.0,-988.0,132.0,255.0,-264.0,-358.0,1.4,8.5,-0.4,L
42,1632491,215853.0,-59.0,-899.0,-413.0,339.0,-205.0,-60.0,-3.8,1.4,6.5,U
30,524244,70621.0,21.0,-92.0,863.0,-186.0,-481.0,-37.0,36.2,-35.0,104.0,L
45,1507173,193503.0,203.0,-225.0,961.0,-250.0,-459.0,-61.0,2.5,0.9,-10.1,L
21,276175,46296.0,67.0,-1014.0,-21.0,289.0,-301.0,-234.0,8.2,2.4,7.7,R
59,351867,55759.0,-22.0,-1003.0,104.0,255.0,-219.0,-280.0,-7.0,3.2,2.8,R
50,1168122,157803.0,-68.0,-1006.0,30.0,276.0,-192.0,-307.0,-6.0,-6.7,3.0,L
28,627045,88791.0,78.0,-69.0,989.0,-235.0,-457.0,-73.0,-3.1,-1.6,3.9,D
109,348890,63340.0,-118.0,271.0,969.0,84.0,-70.0,-105.0,-0.7,-4.9,2.3,W
131,121460,34906.0,-16.0,396.0,916.0,43.0,-130.0,-156.0,-0.6,-0.8,0.8,W
34,1137672,153996.0,-47.0,-999.0,102.0,250.0,-213.0,-295.0,-2.5,-9.6,0.9,L
39,237591,49425.0,-35.0,157.0,964.0,111.0,-88.0,-85.0,4.8,8.1,-3.4,W
18,1639990,210103.0,390.0,-112.0,950.0,-409.0,-429.0,-21.0,4.4,1.1,2.6,L
29,209998,34549.0,92.0,-1219.0,449.0,181.0,-102.0,-325.0,26.5,-27.7,35.4,S
49,2341288,304465.0,-27.0,-1026.0,115.0,258.0,-237.0,-339.0,-1.0,3.4,-0.4,D
34,427642,73184.0,20.0,86.0,1001.0,139.0,-133.0,-69.0,3.7,3.7,4.2,W
16,351237,52205.0,-472.0,-668.0,-135.0,285.0,-102.0,-186.0,-7.1,66.7,-9.4,S
33,1162492,201886.0,28.0,-77.0,985.0,-280.0,-450.0,-82.0,-1.1,-0.8,2.5,U
10,175949,30293.0,-644.0,-835.0,-45.0,258.0,-151.0,-298.0,-42.7,49.3,7.0,S
17,586402,93034.0,-154.0,404.0,1131.0,177.0,-142.0,-25.0,46.0,-18.7,6.9,W
72,794878,104453.0,110.0,-241.0,998.0,-69.0,-457.0,-60.0,0.4,-1.4,1.4,L
45,1594001,211040.0,28.0,-968.0,-193.0,330.0,-214.0,-172.0,-6.8,-3.7,-2.5,U
10,1534932,203653.0,-38.0,-937.0,-51.0,283.0,-244.0,-282.0,-28.6,29.2,21.4,U
55,332847,49905.0,-17.0,-1020.0,201.0,226.0,-232.0,-367.0,-1.9,5.4,0.5,S
